incident_county,incident_acres_burned,longitude,latitude
Modoc,380,-120.58342,41.16716
Riverside,15,-116.08003,33.56777
Fresno,5738,-120.26561,36.07228
Monterey,10,-121.34695,36.44141
Fresno,976,-120.206592,36.530836
Fresno,126,-120.6585,36.5355
San Bernardino,150,-117.45646,34.30104
Riverside,1350,-117.30693,34.00566
Riverside,12,-117.5048,33.7866
Kern,19,-118.30601,35.71704
San Luis Obispo,130,-120.22647,35.78286
San Luis Obispo,12,-120.3317,35.6879
Fresno,400,-120.2445,36.45491
Kern,31,-118.4683,35.60001
Merced,1800,-120.89261,36.96655
Monterey,20,-120.92482,35.77082
Riverside,17,-116.99229,33.88466
Kern,41,-118.90004,35.05076
San Luis Obispo,225,-119.87525,35.21177
Kern,288,-118.84466,35.41283
Monterey,18,-120.86682,36.1727
Monterey,17,-120.94328,36.2771
Madera,150,-119.79315,36.90967
San Luis Obispo,225,-120.76464,35.34541
Fresno,10343,-120.37116,36.12089
Kings,20,-119.91508,35.983
Riverside,14,-117.44148,33.97155
Fresno,70,-120.5828,36.60736
Merced,12,-121.07761,37.21812
San Luis Obispo,0,-120.80411,35.85253
San Diego,486,-117.32348,33.3906
San Diego,2056,-116.80527,32.65597
San Luis Obispo,17,-120.474,35.556667
Kern,506,-118.85896,35.4605
Riverside,10,-117.17773,33.94673
Santa Barbara,190,-119.8036,34.9465
San Diego,25,-116.29296,32.679
San Benito,21,-120.99552,36.35578
Riverside,35,-117.20507,33.96419
San Diego,1000,-117.39818,33.34988
Riverside,120,-116.99651,33.88287
Kern,10,-118.35296,34.87128
Fresno,16,-119.58292,36.96642
Riverside,48,-116.07429,33.58577
Calaveras,15,-120.83484,38.19906
Fresno,18,-120.7109,36.61332
San Bernardino,16,-116.55326,34.04412
Tulare,79,-119.00334,35.89423
Yuba,10,-121.376,39.23205
Sacramento,68,-121.11113,38.33707
Riverside,26,-116.59719,33.94788
Kern,16,-119.2877,35.188
Modoc,42,-120.53443,41.38247
Riverside,27,-116.96079,33.82165
Los Angeles,25,-118.37539,34.29931
Kern,33,-118.4642,35.60633
Tehama,78,-122.13088,40.38944
Lassen,67,-120.1064,40.03392
